mode,1.0,10.0,20.0,30.0,40.0,50.0,100.0,150.0,200.0,250.0,300.0
1,2.248049,2.248049,2.248049,2.248049,2.248049,2.248049,2.248049,2.248049,2.248049,2.248049,2.248049
2,2.739742,2.672043,2.669624,2.669216,2.669085,2.669038,2.669040,2.669079,2.669081,2.669106,2.669129
3,2.849702,2.775769,2.771212,2.769839,2.769178,2.768788,2.768067,2.767842,2.767711,2.767651,2.767628
4,3.264316,3.091124,3.071971,3.065059,3.061469,3.059265,3.054811,3.053284,3.052515,3.052066,3.051765
5,3.401873,3.312123,3.300903,3.296715,3.294624,3.293210,3.290610,3.289554,3.289072,3.288900,3.288629
6,3.756159,3.612083,3.593173,3.586162,3.582587,3.580368,3.575664,3.574210,3.573298,3.572950,3.572574
7,4.317647,4.156642,4.140054,4.134122,4.130977,4.129163,4.125347,4.124060,4.123311,4.123035,4.122732
8,4.642050,4.494824,4.475080,4.467798,4.463987,4.461601,4.456857,4.455286,4.454456,4.453983,4.453675
9,4.812300,4.662901,4.641510,4.633483,4.629274,4.626550,4.621222,4.619333,4.618458,4.617889,4.617519
10,5.737470,5.614930,5.594259,5.586426,5.582346,5.579778,5.574503,5.572638,5.571746,5.571143,5.570816
11,6.061467,5.958652,5.939023,5.931428,5.927400,5.924861,5.919688,5.917965,5.917000,5.916469,5.916185
12,6.570909,6.434961,6.413067,6.404724,6.400369,6.397673,6.392041,6.390142,6.389211,6.388655,6.388269
13,6.929760,6.664816,6.634529,6.623624,6.617924,6.614442,6.607391,6.604986,6.603758,6.603073,6.602599
14,7.060948,6.914478,6.904784,6.902022,6.900750,6.899981,6.898564,6.898137,6.897930,6.897763,6.897794
15,7.325167,7.059946,7.028309,7.017253,7.011560,7.008071,7.001100,6.998780,6.997624,6.996940,6.996469
16,7.416971,7.212511,7.178229,7.165253,7.158436,7.154160,7.145385,7.142414,7.140820,7.139976,7.139376
17,7.437727,7.400599,7.382444,7.374822,7.370718,7.368047,7.362575,7.360635,7.359627,7.359090,7.358770
18,7.772795,7.526187,7.481804,7.465386,7.456816,7.451527,7.440700,7.437034,7.435094,7.434013,7.433304
19,7.839549,7.668608,7.642019,7.632207,7.627083,7.623874,7.617369,7.615124,7.613928,7.613306,7.612879
20,7.990602,7.962155,7.932045,7.919966,7.913495,7.909470,7.901097,7.898159,7.896676,7.895816,7.895280
21,8.050072,8.066788,8.016791,7.997286,7.987037,7.980662,7.967555,7.963089,7.960813,7.959452,7.958556
22,8.249528,8.144158,8.120875,8.112384,8.107882,8.105031,8.099158,8.097145,8.096058,8.095476,8.095125
23,8.500055,8.268155,8.242640,8.232946,8.227798,8.224591,8.218001,8.215749,8.214539,8.213883,8.213481
24,8.537774,8.321442,8.306854,8.300730,8.297326,8.295141,8.290628,8.289061,8.288161,8.287713,8.287410
25,8.937432,8.636537,8.597212,8.582601,8.574930,8.570165,8.560491,8.557120,8.555445,8.554459,8.553798
26,9.319732,9.005610,8.964885,8.949709,8.941783,8.936916,8.926813,8.923405,8.921615,8.920597,8.919979
27,9.403615,9.050717,8.993047,8.971497,8.960182,8.953231,8.938880,8.934026,8.931513,8.930019,8.929099
28,9.531124,9.228879,9.173705,9.153480,9.142881,9.136406,9.123148,9.118612,9.116285,9.114984,9.114058
29,9.676193,9.251824,9.208097,9.191464,9.182689,9.177217,9.165946,9.162082,9.160119,9.158968,9.158196
30,9.808576,9.414577,9.372121,9.356966,9.349122,9.344286,9.334482,9.331213,9.329486,9.328522,9.327915
31,10.032977,9.650363,9.594127,9.573540,9.562864,9.556257,9.542807,9.538245,9.535870,9.534510,9.533655
32,10.072214,9.777518,9.733705,9.717076,9.708271,9.702771,9.691552,9.687649,9.685683,9.684515,9.683769
33,10.178999,9.955576,9.907789,9.889871,9.880401,9.874540,9.862576,9.858458,9.856329,9.855114,9.854359
34,10.231480,10.007052,9.955364,9.935788,9.925466,9.919052,9.905875,9.901353,9.899023,9.897678,9.896800
35,10.312083,10.164392,10.129838,10.115995,10.108494,10.103763,10.094009,10.090612,10.088839,10.087863,10.087175
36,10.412934,10.280499,10.231974,10.212828,10.202619,10.196201,10.182995,10.178435,10.176052,10.174711,10.173835
37,10.594633,10.349614,10.303734,10.285654,10.275959,10.269868,10.257240,10.252903,10.250609,10.249328,10.248478
