mode,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0
32,0.892761,1.619354,2.228683,2.874833,3.796650,4.681897,5.641300,7.150781,8.530305,9.644141,10.880255,12.494574,13.639739,14.943400,16.691253,18.144774,19.804987
33,0.893705,1.677793,2.271188,2.905312,3.937828,4.701752,5.708727,7.214644,8.614012,9.842443,10.952629,12.744069,13.849504,14.994605,16.966628,18.397124,19.964804
34,0.948609,1.685821,2.272330,2.920291,3.987375,4.809613,5.870747,7.325105,8.718309,9.898354,11.191197,12.927347,13.996871,15.094540,17.097480,18.514368,20.400085
35,0.977494,1.690257,2.299618,2.943297,4.075419,4.974487,6.028317,7.449770,8.787488,10.045108,11.334633,12.953318,14.062430,15.473742,17.351809,18.805692,20.436758
36,0.995170,1.737185,2.334454,2.972082,4.107841,4.989399,6.040237,7.657706,8.900820,10.129160,11.342953,13.035444,14.185161,15.597842,17.401687,18.941583,20.532890
37,0.998441,1.793297,2.436725,3.023943,4.171506,5.026837,6.403832,7.701545,8.912471,10.321745,11.619745,13.117955,14.242405,15.799151,17.534001,19.191444,20.636291
38,1.017394,1.816783,2.477970,3.086469,4.232960,5.106087,6.557764,7.729666,9.048374,10.340578,11.712233,13.254776,14.359903,16.027753,17.584368,19.274827,20.759919
39,1.020334,1.840706,2.501438,3.136025,4.300533,5.252146,6.580023,7.730810,9.236748,10.368081,11.854338,13.346978,14.474818,16.145770,17.706661,19.330724,20.958345
40,1.052493,1.869154,2.547078,3.211266,4.438703,5.349030,6.628055,8.016635,9.407454,10.551615,11.957344,13.573007,14.723595,16.212459,17.801308,19.658871,21.149335
41,1.097092,1.886235,2.555144,3.216237,4.455011,5.413346,6.630101,8.066199,9.519164,10.567863,11.966216,13.773518,14.875382,16.267280,17.828447,19.758192,21.227250
42,1.115743,1.950411,2.570512,3.321358,4.490865,5.443865,6.757642,8.130486,9.582625,10.716287,12.149096,13.857165,15.105083,16.425623,17.988125,19.813321,21.463143
43,1.152396,1.957592,2.624894,3.401309,4.533853,5.533029,6.790542,8.269046,9.674355,10.828924,12.318739,13.907706,15.254234,16.772301,18.129820,19.949737,21.558254
44,1.158214,2.023642,2.765598,3.429121,4.543985,5.665600,6.862573,8.398796,9.720927,10.911640,12.331177,13.943694,15.274706,16.853310,18.237470,20.195591,21.584767
45,1.181847,2.037145,2.793766,3.438410,4.621565,5.683056,6.930795,8.402516,9.751932,11.033615,12.464336,14.134778,15.351711,16.903612,18.434582,20.485744,21.843263
46,1.222023,2.073974,2.820504,3.525614,4.716651,5.906293,7.087591,8.451422,9.794403,11.034150,12.464336,14.148954,15.368217,16.986771,18.587786,20.509906,21.955264
47,1.224288,2.091554,2.822781,3.553432,4.786634,5.993791,7.093994,8.505664,10.004055,11.089050,12.574538,14.217544,15.480218,17.310305,18.634672,20.631719,22.077916
48,1.236174,2.108540,2.865527,3.603847,4.823690,6.021760,7.151936,8.517232,10.013421,11.148441,12.603575,14.410726,15.846475,17.335152,18.706357,20.666554,22.165868
49,1.254449,2.166928,2.889623,3.718667,4.900331,6.029588,7.194021,8.649599,10.109467,11.257384,12.700042,14.460555,15.918123,17.337532,18.829505,20.847210,22.314857
50,1.296424,2.178299,2.931635,3.747098,4.985971,6.057295,7.242947,8.697726,10.208883,11.360612,12.831211,14.551194,15.935892,17.461893,19.095968,20.850038,22.338888
51,1.339064,2.198398,2.955850,3.787943,5.065511,6.239685,7.252058,8.778291,10.229422,11.471137,12.977420,14.620318,15.974693,17.620877,19.196973,21.048455,22.632824
52,1.342230,2.269864,2.997977,3.846176,5.129129,6.344912,7.442485,8.801299,10.329568,11.563795,13.112111,14.739604,16.276701,17.709991,19.245745,21.104124,22.693961
53,1.361854,2.305917,3.037250,3.890529,5.189696,6.360597,7.448108,8.899429,10.336871,11.665323,13.157000,14.992639,16.414492,17.764174,19.584050,21.180257,22.935849
54,1.379191,2.323213,3.059358,3.945905,5.200931,6.462853,7.619267,8.932625,10.444456,11.752938,13.198163,15.107815,16.595249,17.893478,19.797245,21.338892,22.945873
55,1.402464,2.338365,3.077612,3.953518,5.243270,6.505770,7.668017,8.991374,10.543957,11.787002,13.324873,15.151850,16.646686,18.012037,19.814511,21.471932,23.058910
56,1.413811,2.369649,3.106538,3.995500,5.362901,6.507854,7.700013,9.092705,10.737613,11.859808,13.410439,15.198474,16.951678,18.145748,19.975137,21.718472,23.112288
57,1.416311,2.381141,3.112643,4.021974,5.392284,6.529020,7.755177,9.186054,10.802376,12.054580,13.604680,15.255780,16.992324,18.244258,19.976318,21.843803,23.194286
58,1.500404,2.443008,3.153424,4.077155,5.444732,6.573658,7.798467,9.303974,10.878629,12.112644,13.838431,15.442847,17.112302,18.444494,20.152044,21.880211,23.356660
59,1.531133,2.448215,3.158206,4.120596,5.477445,6.614164,7.853089,9.328340,10.970379,12.145699,13.894133,15.597842,17.341953,18.596665,20.242540,22.007300,23.562496
60,1.532403,2.455069,3.228953,4.176450,5.614270,6.626721,7.923572,9.424110,11.117195,12.210091,13.958485,15.611822,17.343313,18.669759,20.569613,22.082989,23.684293
61,1.545315,2.497640,3.239672,4.210195,5.617525,6.646355,8.047465,9.544464,11.150028,12.346945,14.100532,15.738205,17.370488,18.766461,20.644004,22.113939,23.692258
62,1.571383,2.537570,3.316064,4.240475,5.648298,6.669203,8.143529,9.563718,11.152143,12.409819,14.186823,15.790939,17.391520,18.876415,20.659135,22.359729,23.901617
63,1.603070,2.563691,3.357710,4.286251,5.655288,6.676183,8.233246,9.580533,11.247952,12.456292,14.280852,15.911083,17.464931,18.958074,20.719550,22.470205,24.007455
64,1.624407,2.604079,3.381280,4.350964,5.660811,6.827257,8.250487,9.642734,11.333593,12.694934,14.345936,15.923307,17.497984,18.999081,20.746282,22.576485,24.068284
65,1.647866,2.615939,3.401031,4.369894,5.732741,6.863604,8.354735,9.879215,11.460339,12.797624,14.511025,16.019289,17.705329,19.053621,20.917796,22.751824,24.211898
66,1.663641,2.631490,3.440467,4.370164,5.784752,6.943628,8.394513,9.883392,11.493731,12.954229,14.511838,16.135907,17.793357,19.130517,20.932729,22.756488,24.288484
67,1.695933,2.640481,3.453467,4.401621,5.866126,6.957540,8.427739,9.912461,11.512695,12.964693,14.608215,16.231358,17.877655,19.278497,21.137065,22.918619,24.372331
68,1.724513,2.683494,3.474742,4.450642,5.902198,6.985618,8.438297,9.968808,11.672902,13.026395,14.613461,16.275977,17.937906,19.539140,21.201959,22.920935,24.421149
69,1.775488,2.714514,3.506161,4.488764,5.937356,6.992536,8.459720,10.011125,11.761965,13.110312,14.715584,16.336722,18.132096,19.602706,21.329219,23.074247,24.606587
70,1.782282,2.721889,3.512210,4.502534,5.965097,7.032473,8.528232,10.083539,11.821965,13.214236,14.825754,16.440334,18.225181,19.670864,21.492791,23.234161,24.669763
71,1.800942,2.773134,3.557412,4.544894,6.029393,7.059752,8.558528,10.122056,11.897035,13.254776,14.874193,16.469715,18.268480,19.831465,21.531709,23.265353,24.753271
72,1.816004,2.785439,3.606464,4.557977,6.048821,7.076268,8.608123,10.137422,11.975082,13.280995,14.944979,16.476515,18.276547,19.913352,21.646412,23.403566,24.768749
73,1.825621,2.815252,3.629929,4.577726,6.106832,7.174653,8.617639,10.170752,11.998692,13.304946,15.046027,16.569293,18.333558,19.977203,21.676081,23.555739,24.810133
74,1.847930,2.827873,3.636907,4.639899,6.128132,7.216115,8.697523,10.227924,12.136472,13.478414,15.067956,16.610519,18.407056,20.034084,21.735840,23.560995,24.969320
75,1.883514,2.830270,3.669508,4.646502,6.145042,7.309715,8.707346,10.399254,12.145699,13.515545,15.156908,16.696198,18.436501,20.055850,21.812200,23.601999,25.112711
76,1.929225,2.855324,3.701663,4.729634,6.198064,7.342792,8.856061,10.493679,12.172853,13.609013,15.179453,16.799699,18.538873,20.149411,21.853788,23.707682,25.131252
77,1.931028,2.859224,3.710731,4.738103,6.260062,7.387461,8.889087,10.501149,12.204779,13.683759,15.295921,16.845611,18.551590,20.265537,21.863228,23.758113,25.180238
78,1.954548,2.918271,3.744737,4.792174,6.330958,7.469293,8.955763,10.516522,12.253955,13.738801,15.355935,16.928707,18.643529,20.322191,21.949624,23.814381,25.348732
79,1.968195,2.956748,3.747255,4.800533,6.331237,7.476867,9.097827,10.590769,12.350765,13.817538,15.408065,17.075396,18.772115,20.325672,22.097936,23.920851,25.394047
80,2.010987,2.976602,3.775158,4.840407,6.372081,7.522543,9.206763,10.676766,12.393179,13.853335,15.464213,17.180387,18.780593,20.511056,22.178632,24.016785,25.405190
81,2.018917,3.007324,3.786231,4.859493,6.375781,7.526461,9.246255,10.709903,12.442558,13.982541,15.519018,17.253672,18.817602,20.569326,22.180227,24.080774,25.431169
82,2.055556,3.040315,3.818020,4.861191,6.385945,7.583354,9.272362,10.748480,12.459605,14.003188,15.576281,17.327667,18.880787,20.623430,22.232268,24.134580,25.579578
83,2.065685,3.052412,3.838811,4.945125,6.436159,7.598267,9.312146,10.777787,12.502593,14.017075,15.646905,17.344672,19.053931,20.673400,22.268041,24.179976,25.670922
84,2.099376,3.075714,3.856892,4.957034,6.475612,7.637430,9.316323,10.827236,12.598429,14.129355,15.668369,17.454125,19.104303,20.814094,22.423451,24.350065,25.742024
85,2.099460,3.082187,3.889468,4.995304,6.507764,7.680386,9.386120,10.856440,12.717671,14.259367,15.748691,17.511120,19.113867,20.884791,22.527596,24.389501,25.742482
86,2.108456,3.117659,3.937528,5.007682,6.547506,7.703994,9.445607,10.965541,12.875706,14.261021,15.783470,17.520882,19.197587,20.909338,22.606498,24.439490,25.849221
87,2.115073,3.133598,3.942168,5.056774,6.551737,7.774767,9.482053,11.020783,12.892181,14.286219,15.844242,17.648293,19.277885,20.986458,22.691623,24.503579,25.920061
88,2.143731,3.174017,3.998450,5.067606,6.575990,7.811385,9.526099,11.173798,12.903152,14.322079,15.861722,17.715317,19.312415,21.006957,22.695779,24.545170,25.921880
89,2.160251,3.187733,4.015372,5.113011,6.595328,7.845277,9.562978,11.181710,12.966057,14.352921,16.030327,17.752886,19.510754,21.034164,22.728489,24.567500,25.980951
90,2.229609,3.201428,4.017427,5.117275,6.620134,7.880520,9.595046,11.237464,13.038158,14.500051,16.124576,17.805945,19.541554,21.145989,22.778241,24.773747,26.195427
91,2.240056,3.274554,4.063539,5.143134,6.621737,7.892557,9.638698,11.282496,13.049910,14.530515,16.149056,17.837043,19.557237,21.168005,22.851892,24.780648,26.239730
92,2.248437,3.296394,4.080768,5.236294,6.727736,7.952095,9.670271,11.301293,13.065714,14.546737,16.222275,17.919819,19.588565,21.179422,22.948699,24.804905,26.318929
93,2.294202,3.338833,4.088707,5.291291,6.769846,7.969722,9.750541,11.307552,13.119753,14.567393,16.238985,17.921793,19.598796,21.273030,22.961028,24.859277,26.373310
94,2.345767,3.345326,4.133881,5.342744,6.790195,7.972976,9.791453,11.369431,13.172675,14.708771,16.311439,17.996645,19.685845,21.328943,22.991821,24.887248,26.375545
95,2.361923,3.380199,4.166132,5.348038,6.805200,8.048344,9.866256,11.436649,13.196376,14.750800,16.311800,17.999921,19.744759,21.377815,23.034607,24.940259,26.450325
96,2.364692,3.398551,4.203608,5.389769,6.863862,8.062032,9.870916,11.476790,13.219589,14.751200,16.371692,18.068251,19.779368,21.384158,23.128864,24.947823,26.488861
