variable,sort_type,modes,chi2
8.00,hist,13,0.00
8.00,hist,14,0.00
8.00,hist,15,0.00
8.00,hist,16,0.00
8.00,hist,17,0.00
8.00,hist,18,0.00
8.00,hist,19,0.00
8.00,hist,20,0.00
8.00,hist,21,0.00
8.00,hist,22,0.00
8.00,hist,23,0.00
8.00,hist,24,0.00
8.00,hist,25,0.00
8.00,hist,26,0.00
8.00,hist,27,0.00
8.00,hist,28,0.00
8.00,hist,29,0.00
8.00,hist,30,0.00
8.00,hist,31,0.03
8.00,hist,32,0.13
8.00,hist,33,0.30
8.00,hist,34,0.53
8.00,hist,35,0.83
8.00,hist,36,1.20
8.00,hist,37,1.63
8.00,hist,38,2.13
8.00,hist,39,2.70
8.00,hist,40,3.33
8.00,hist,41,4.03
8.00,hist,42,4.80
8.00,hist,43,5.63
8.00,hist,44,6.53
8.00,hist,45,7.50
8.00,hist,46,8.53
8.00,hist,47,9.63
8.00,hist,48,10.80
8.00,hist,49,12.03
8.00,hist,50,13.33
8.00,hist,51,14.70
8.00,hist,52,16.13
8.00,hist,53,17.63
8.00,hist,54,19.20
8.00,hist,55,20.83
8.00,hist,56,22.53
8.00,hist,57,24.30
8.00,hist,58,26.13
8.00,hist,59,28.03
8.00,hist,60,30.00
8.00,hist,61,32.03
8.00,hist,62,32.03
8.00,hist,63,32.03
8.00,hist,64,32.03
8.00,hist,65,32.03
8.00,hist,66,32.03
8.00,hist,67,32.03
8.00,hist,68,32.03
8.00,hist,69,32.03
8.00,hist,70,32.03
8.00,hist,71,32.03
8.00,hist,72,32.03
8.00,hist,73,32.03
8.00,hist,74,32.03
8.00,hist,75,32.03
8.00,hist,76,32.03
8.00,hist,77,32.03
8.00,hist,78,32.03
8.00,hist,79,32.03
8.00,hist,80,32.03
8.00,hist,81,32.03
8.00,hist,82,32.03
8.00,hist,83,32.03
8.00,hist,84,32.03
8.00,hist,85,32.03
8.00,hist,86,32.03
8.00,hist,87,32.03
8.00,hist,88,32.03
8.00,hist,89,47.55
8.00,hist,90,46.53
8.00,hist,91,45.55
