mode,eigval
320,7.174221e+01
321,7.190507e+01
322,7.231415e+01
323,7.234549e+01
324,7.256420e+01
325,7.279793e+01
326,7.304850e+01
327,7.328587e+01
328,7.334985e+01
329,7.341923e+01
330,7.358127e+01
331,7.377913e+01
332,7.415123e+01
333,7.423079e+01
334,7.440244e+01
335,7.464842e+01
336,7.485401e+01
337,7.499912e+01
338,7.502357e+01
339,7.517198e+01
340,7.527847e+01
341,7.537917e+01
342,7.556014e+01
343,7.578375e+01
344,7.595669e+01
345,7.614024e+01
346,7.644865e+01
347,7.652814e+01
348,7.669784e+01
349,7.690927e+01
350,7.711490e+01
351,7.721065e+01
352,7.763275e+01
353,7.766023e+01
354,7.771639e+01
355,7.781235e+01
356,7.811112e+01
357,7.818391e+01
358,7.834903e+01
359,7.860952e+01
360,7.865231e+01
361,7.880271e+01
362,7.893489e+01
363,7.918620e+01
364,7.933892e+01
365,7.957515e+01
366,7.981872e+01
367,7.992817e+01
368,8.002393e+01
369,8.009860e+01
370,8.031157e+01
371,8.036502e+01
372,8.068425e+01
373,8.080553e+01
374,8.100945e+01
375,8.116900e+01
376,8.149910e+01
377,8.161057e+01
378,8.173350e+01
379,8.192936e+01
380,8.196839e+01
381,8.206123e+01
382,8.220134e+01
383,8.239892e+01
384,8.254811e+01
385,8.283733e+01
386,8.288294e+01
387,8.307986e+01
388,8.335223e+01
389,8.345702e+01
390,8.368696e+01
391,8.382645e+01
392,8.398992e+01
393,8.406791e+01
394,8.408733e+01
395,8.436820e+01
396,8.475779e+01
397,8.482485e+01
398,8.499034e+01
399,8.527301e+01
400,8.543832e+01
401,8.559564e+01
402,8.567933e+01
403,8.600781e+01
404,8.610100e+01
405,8.625552e+01
406,8.647761e+01
407,8.666299e+01
408,8.669591e+01
409,8.699471e+01
410,8.714322e+01
411,8.748548e+01
412,8.758075e+01
413,8.770920e+01
414,8.795111e+01
415,8.810378e+01
416,8.826824e+01
417,8.843659e+01
418,8.851946e+01
419,8.863508e+01
420,8.877321e+01
421,8.898592e+01
422,8.916455e+01
423,8.933783e+01
424,8.938026e+01
425,8.958426e+01
426,8.977124e+01
427,8.981570e+01
428,8.997626e+01
429,9.015533e+01
430,9.032685e+01
431,9.064402e+01
