variable,sort_type,modes,chi2
8.50,hist,12,0.00
8.50,hist,13,0.00
8.50,hist,14,0.00
8.50,hist,15,0.00
8.50,hist,16,0.00
8.50,hist,17,0.06
8.50,hist,18,0.25
8.50,hist,19,0.56
8.50,hist,20,1.00
8.50,hist,21,1.56
8.50,hist,22,2.25
8.50,hist,23,3.06
8.50,hist,24,4.00
8.50,hist,25,5.06
8.50,hist,26,6.25
8.50,hist,27,7.56
8.50,hist,28,9.00
8.50,hist,29,10.56
8.50,hist,30,10.56
8.50,hist,31,10.56
8.50,hist,32,10.56
8.50,hist,33,10.56
8.50,hist,34,10.56
8.50,hist,35,10.56
8.50,hist,36,10.56
8.50,hist,37,10.56
8.50,hist,38,10.56
8.50,hist,39,10.56
8.50,hist,40,10.56
8.50,hist,41,10.56
8.50,hist,42,10.56
8.50,hist,43,10.56
8.50,hist,44,10.56
8.50,hist,45,10.56
8.50,hist,46,10.56
8.50,hist,47,10.56
8.50,hist,48,10.56
8.50,hist,49,10.56
8.50,hist,50,10.56
8.50,hist,51,10.56
8.50,hist,52,10.56
8.50,hist,53,14.56
8.50,hist,54,13.92
8.50,hist,55,13.34
8.50,hist,56,12.81
8.50,hist,57,12.34
8.50,hist,58,11.92
8.50,hist,59,11.56
8.50,hist,60,11.26
8.50,hist,61,11.01
8.50,hist,62,10.81
8.50,hist,63,10.67
8.50,hist,64,10.59
8.50,hist,65,10.56
8.50,hist,66,10.59
8.50,hist,67,10.67
8.50,hist,68,10.81
8.50,hist,69,11.01
8.50,hist,70,11.26
8.50,hist,71,11.56
8.50,hist,72,11.92
8.50,hist,73,12.34
8.50,hist,74,12.81
8.50,hist,75,13.34
8.50,hist,76,13.92
8.50,hist,77,14.56
8.50,hist,78,15.26
8.50,hist,79,16.01
8.50,hist,80,16.81
8.50,hist,81,17.67
8.50,hist,82,18.59
8.50,hist,83,19.56
8.50,hist,84,20.59
8.50,hist,85,21.67
8.50,hist,86,22.81
8.50,hist,87,24.01
8.50,hist,88,25.26
8.50,hist,89,26.56
8.50,hist,90,27.92
8.50,hist,91,29.34
8.50,hist,92,30.81
8.50,hist,93,32.34
8.50,hist,94,33.92
8.50,hist,95,35.56
8.50,hist,96,37.26
8.50,hist,97,39.01
8.50,hist,98,40.81
8.50,hist,99,42.67
8.50,hist,100,44.59
8.50,hist,1253,1932.27
9.00,hist,1,0.00
9.00,hist,2,0.00
9.00,hist,3,0.00
9.00,hist,4,0.00
9.00,hist,5,0.00
9.00,hist,6,0.00
9.00,hist,7,0.00
9.00,hist,8,0.00
9.00,hist,9,0.00
9.00,hist,10,0.00
9.00,hist,11,0.00
9.00,hist,12,0.00
9.00,hist,13,0.00
9.00,hist,14,0.00
9.00,hist,15,0.00
9.00,hist,16,0.00
9.00,hist,17,0.06
9.00,hist,18,0.25
9.00,hist,19,0.56
9.00,hist,20,1.00
9.00,hist,21,1.56
9.00,hist,22,2.25
9.00,hist,23,3.06
9.00,hist,24,4.00
9.00,hist,25,5.06
9.00,hist,26,6.25
9.00,hist,27,7.56
9.00,hist,28,9.00
9.00,hist,29,10.56
9.00,hist,30,12.25
9.00,hist,31,14.06
9.00,hist,32,16.00
9.00,hist,33,18.06
9.00,hist,34,20.25
9.00,hist,35,20.25
9.00,hist,36,20.25
9.00,hist,37,20.25
9.00,hist,38,20.25
9.00,hist,39,20.25
9.00,hist,40,20.25
9.00,hist,41,20.25
9.00,hist,42,20.25
9.00,hist,43,20.25
9.00,hist,44,20.25
9.00,hist,45,20.25
9.00,hist,46,20.25
9.00,hist,47,20.25
9.00,hist,48,20.25
9.00,hist,49,20.25
9.00,hist,50,20.25
9.00,hist,51,20.25
9.00,hist,52,20.25
9.00,hist,53,28.28
9.00,hist,54,27.36
9.00,hist,55,26.50
9.00,hist,56,25.69
9.00,hist,57,24.94
9.00,hist,58,24.25
9.00,hist,59,23.61
9.00,hist,60,23.03
9.00,hist,61,22.50
9.00,hist,62,22.03
9.00,hist,63,21.61
9.00,hist,64,21.25
9.00,hist,65,20.94
9.00,hist,66,20.69
9.00,hist,67,20.50
9.00,hist,68,20.36
9.00,hist,69,20.28
9.00,hist,70,20.25
9.00,hist,71,20.28
9.00,hist,72,20.36
9.00,hist,73,20.50
9.00,hist,74,20.69
9.00,hist,75,20.94
