mode,1.0,5.0,10.0,20.0,30.0,40.0,50.0,100.0,150.0,200.0
1,0.596183,0.641037,0.651709,0.658101,0.660426,0.661639,0.662378,0.663890,0.664405,0.664662
2,0.816486,0.863875,0.874586,0.880860,0.883126,0.884294,0.885007,0.886464,0.886957,0.887209
3,1.137306,1.205116,1.220574,1.229670,1.232926,1.234599,1.235649,1.237747,1.238461,1.238842
4,1.298560,1.400613,1.422874,1.435703,1.440295,1.442626,1.444056,1.446993,1.447971,1.448500
5,1.396524,1.504759,1.528667,1.542451,1.547412,1.549963,1.551522,1.554673,1.555734,1.556265
6,1.483092,1.587176,1.611763,1.626438,1.631794,1.634574,1.636269,1.639760,1.640946,1.641557
7,1.537052,1.646399,1.671561,1.686380,1.691756,1.694507,1.696211,1.699649,1.700828,1.701417
8,1.696559,1.817659,1.844769,1.860617,1.866344,1.869280,1.871077,1.874760,1.876018,1.876646
9,1.742674,1.875609,1.904093,1.920281,1.926044,1.928981,1.930753,1.934383,1.935602,1.936211
10,1.780462,1.905517,1.932828,1.948747,1.954487,1.957441,1.959248,1.962946,1.964207,1.964837
11,1.798091,1.923502,1.951770,1.968165,1.974058,1.977072,1.978920,1.982700,1.983949,1.984603
12,1.874634,2.047768,2.084721,2.105854,2.113400,2.117274,2.119640,2.124446,2.126055,2.126887
13,2.003732,2.154184,2.184974,2.202578,2.208860,2.212114,2.214085,2.218076,2.219431,2.220122
14,2.081608,2.227942,2.257466,2.274197,2.280101,2.283150,2.284983,2.288721,2.290009,2.290627
15,2.136236,2.290060,2.323416,2.342774,2.349710,2.353295,2.355474,2.359950,2.361449,2.362223
16,2.217332,2.414630,2.449082,2.467884,2.474446,2.477779,2.479825,2.483911,2.485287,2.485975
17,2.296462,2.476089,2.510167,2.528795,2.535292,2.538592,2.540612,2.544670,2.546036,2.546731
18,2.313498,2.501697,2.537825,2.558050,2.565162,2.568814,2.571017,2.575508,2.577018,2.577796
19,2.360475,2.527419,2.563622,2.584420,2.591824,2.595620,2.597914,2.602607,2.604192,2.604985
20,2.372981,2.578688,2.622445,2.646949,2.655600,2.660014,2.662695,2.668136,2.669992,2.670897
21,2.422967,2.599524,2.641999,2.667164,2.676278,2.680967,2.683824,2.689683,2.691655,2.692663
22,2.443418,2.629248,2.672288,2.697651,2.706815,2.711537,2.714406,2.720286,2.722279,2.723275
23,2.587156,2.783533,2.827498,2.853424,2.862810,2.867646,2.870605,2.876657,2.878706,2.879730
24,2.613616,2.829937,2.873787,2.898851,2.907807,2.912406,2.915218,2.920937,2.922874,2.923862
25,2.667938,2.883904,2.931012,2.958243,2.967973,2.972995,2.976047,2.982262,2.984357,2.985423
26,2.733756,2.945199,2.985976,3.008833,3.016935,3.021095,3.023631,3.028774,3.030526,3.031401
27,2.795791,3.012534,3.058355,3.084596,3.093948,3.098747,3.101656,3.107601,3.109611,3.110635
28,2.810620,3.019943,3.073663,3.106006,3.117810,3.123931,3.127666,3.135310,3.137923,3.139219
29,2.905981,3.125045,3.170299,3.196138,3.205348,3.210072,3.212954,3.218803,3.220781,3.221769
30,3.014569,3.237633,3.287941,3.317646,3.328416,3.333991,3.337403,3.344356,3.346718,3.347915
31,3.020177,3.272429,3.325244,3.354988,3.365480,3.370837,3.374106,3.380722,3.382954,3.384069
