variable,sort_type,modes,chi2
40.00,hist,24,4.00
40.00,hist,25,5.06
40.00,hist,26,6.25
40.00,hist,27,7.56
40.00,hist,28,9.00
40.00,hist,29,10.56
40.00,hist,30,10.56
40.00,hist,31,10.56
40.00,hist,32,10.56
40.00,hist,33,10.56
40.00,hist,34,10.56
40.00,hist,35,10.56
40.00,hist,36,10.56
40.00,hist,37,10.56
40.00,hist,38,10.56
40.00,hist,39,10.56
40.00,hist,40,10.56
40.00,hist,41,10.56
40.00,hist,42,10.56
40.00,hist,43,10.56
40.00,hist,44,10.56
40.00,hist,45,10.56
40.00,hist,46,10.56
40.00,hist,47,10.56
40.00,hist,48,10.56
40.00,hist,49,10.56
40.00,hist,50,10.56
40.00,hist,51,10.56
40.00,hist,52,10.56
40.00,hist,53,14.56
40.00,hist,54,13.92
40.00,hist,55,13.34
40.00,hist,56,12.81
40.00,hist,57,12.34
40.00,hist,58,11.92
40.00,hist,59,11.56
40.00,hist,60,11.26
40.00,hist,61,11.01
40.00,hist,62,10.81
40.00,hist,63,10.67
40.00,hist,64,10.59
40.00,hist,65,10.56
40.00,hist,66,10.59
40.00,hist,67,10.67
40.00,hist,68,10.81
40.00,hist,69,11.01
40.00,hist,70,11.26
40.00,hist,71,11.56
40.00,hist,72,11.92
40.00,hist,73,12.34
40.00,hist,74,12.81
40.00,hist,75,13.34
40.00,hist,76,13.92
40.00,hist,77,14.56
40.00,hist,78,15.26
40.00,hist,79,16.01
40.00,hist,80,16.81
40.00,hist,81,17.67
40.00,hist,82,18.59
40.00,hist,83,19.56
40.00,hist,84,20.59
40.00,hist,85,21.67
40.00,hist,86,22.81
40.00,hist,87,24.01
40.00,hist,88,25.26
40.00,hist,89,26.56
40.00,hist,90,27.92
40.00,hist,91,29.34
40.00,hist,92,30.81
40.00,hist,93,32.34
40.00,hist,94,33.92
40.00,hist,95,35.56
40.00,hist,96,37.26
40.00,hist,97,39.01
40.00,hist,98,40.81
40.00,hist,99,42.67
40.00,hist,100,42.67
40.00,hist,1253,3256.44
50.00,hist,1,0.00
50.00,hist,2,0.00
50.00,hist,3,0.00
50.00,hist,4,0.00
50.00,hist,5,0.00
50.00,hist,6,0.00
50.00,hist,7,0.00
50.00,hist,8,0.00
50.00,hist,9,0.00
50.00,hist,10,0.00
50.00,hist,11,0.00
50.00,hist,12,0.00
50.00,hist,13,0.00
50.00,hist,14,0.00
50.00,hist,15,0.00
50.00,hist,16,0.00
50.00,hist,17,0.06
50.00,hist,18,0.25
50.00,hist,19,0.56
50.00,hist,20,1.00
50.00,hist,21,1.56
50.00,hist,22,2.25
50.00,hist,23,3.06
50.00,hist,24,4.00
50.00,hist,25,5.06
50.00,hist,26,6.25
50.00,hist,27,7.56
50.00,hist,28,9.00
50.00,hist,29,10.56
50.00,hist,30,10.56
50.00,hist,31,10.56
50.00,hist,32,10.56
50.00,hist,33,10.56
50.00,hist,34,10.56
50.00,hist,35,10.56
50.00,hist,36,10.56
50.00,hist,37,10.56
50.00,hist,38,10.56
50.00,hist,39,10.56
50.00,hist,40,10.56
50.00,hist,41,10.56
50.00,hist,42,10.56
50.00,hist,43,10.56
50.00,hist,44,10.56
50.00,hist,45,10.56
50.00,hist,46,10.56
50.00,hist,47,10.56
50.00,hist,48,10.56
50.00,hist,49,10.56
50.00,hist,50,10.56
50.00,hist,51,10.56
50.00,hist,52,10.56
50.00,hist,53,14.56
50.00,hist,54,13.92
50.00,hist,55,13.34
50.00,hist,56,12.81
50.00,hist,57,12.34
50.00,hist,58,11.92
50.00,hist,59,11.56
50.00,hist,60,11.26
50.00,hist,61,11.01
50.00,hist,62,10.81
50.00,hist,63,10.67
50.00,hist,64,10.59
50.00,hist,65,10.56
50.00,hist,66,10.59
50.00,hist,67,10.67
50.00,hist,68,10.81
50.00,hist,69,11.01
50.00,hist,70,11.26
50.00,hist,71,11.56
50.00,hist,72,11.92
50.00,hist,73,12.34
50.00,hist,74,12.81
50.00,hist,75,13.34
50.00,hist,76,13.92
50.00,hist,77,14.56
50.00,hist,78,15.26
50.00,hist,79,16.01
50.00,hist,80,16.81
50.00,hist,81,17.67
50.00,hist,82,18.59
50.00,hist,83,19.56
50.00,hist,84,20.59
50.00,hist,85,21.67
50.00,hist,86,22.81
50.00,hist,87,24.01
50.00,hist,88,25.26
50.00,hist,89,26.56
50.00,hist,90,27.92
50.00,hist,91,29.34
50.00,hist,92,30.81
50.00,hist,93,32.34
50.00,hist,94,33.92
50.00,hist,95,35.56
50.00,hist,96,37.26
50.00,hist,97,39.01
50.00,hist,98,40.81
50.00,hist,99,42.67
50.00,hist,100,42.67
50.00,hist,1253,2209.09
100.00,hist,1,0.00
100.00,hist,2,0.00
100.00,hist,3,0.00
100.00,hist,4,0.00
100.00,hist,5,0.00
100.00,hist,6,0.00
100.00,hist,7,0.00
100.00,hist,8,0.00
100.00,hist,9,0.00
100.00,hist,10,0.00
100.00,hist,11,0.00
100.00,hist,12,0.00
100.00,hist,13,0.00
100.00,hist,14,0.00
100.00,hist,15,0.00
100.00,hist,16,0.00
100.00,hist,17,0.06
100.00,hist,18,0.25
100.00,hist,19,0.56
100.00,hist,20,1.00
100.00,hist,21,1.56
100.00,hist,22,2.25
100.00,hist,23,3.06
100.00,hist,24,4.00
100.00,hist,25,5.06
100.00,hist,26,6.25
100.00,hist,27,7.56
100.00,hist,28,9.00
100.00,hist,29,10.56
100.00,hist,30,10.56
100.00,hist,31,10.56
100.00,hist,32,10.56
100.00,hist,33,10.56
100.00,hist,34,10.56
100.00,hist,35,10.56
100.00,hist,36,10.56
100.00,hist,37,10.56
100.00,hist,38,10.56
100.00,hist,39,10.56
100.00,hist,40,10.56
100.00,hist,41,10.56
100.00,hist,42,10.56
100.00,hist,43,10.56
100.00,hist,44,10.56
100.00,hist,45,10.56
100.00,hist,46,10.56
100.00,hist,47,10.56
100.00,hist,48,10.56
100.00,hist,49,10.56
100.00,hist,50,10.56
100.00,hist,51,10.56
100.00,hist,52,10.56
100.00,hist,53,14.56
100.00,hist,54,13.92
100.00,hist,55,13.34
100.00,hist,56,12.81
100.00,hist,57,12.34
100.00,hist,58,11.92
100.00,hist,59,11.56
100.00,hist,60,11.26
100.00,hist,61,11.01
100.00,hist,62,10.81
100.00,hist,63,10.67
100.00,hist,64,10.59
100.00,hist,65,10.56
100.00,hist,66,10.59
100.00,hist,67,10.67
100.00,hist,68,10.81
100.00,hist,69,11.01
100.00,hist,70,11.26
100.00,hist,71,11.56
100.00,hist,72,11.92
100.00,hist,73,12.34
100.00,hist,74,12.81
100.00,hist,75,13.34
100.00,hist,76,13.92
100.00,hist,77,14.56
100.00,hist,78,15.26
100.00,hist,79,16.01
100.00,hist,80,16.81
100.00,hist,81,17.67
100.00,hist,82,18.59
100.00,hist,83,19.56
100.00,hist,84,20.59
100.00,hist,85,21.67
100.00,hist,86,22.81
100.00,hist,87,24.01
100.00,hist,88,25.26
100.00,hist,89,26.56
100.00,hist,90,27.92
100.00,hist,91,29.34
100.00,hist,92,30.81
100.00,hist,93,32.34
100.00,hist,94,33.92
100.00,hist,95,35.56
100.00,hist,96,37.26
100.00,hist,97,39.01
100.00,hist,98,40.81
100.00,hist,99,42.67
100.00,hist,100,42.67
100.00,hist,1253,1171.39
150.00,hist,1,0.00
150.00,hist,2,0.00
150.00,hist,3,0.00
150.00,hist,4,0.00
150.00,hist,5,0.00
150.00,hist,6,0.00
150.00,hist,7,0.00
150.00,hist,8,0.00
150.00,hist,9,0.00
150.00,hist,10,0.00
150.00,hist,11,0.00
150.00,hist,12,0.00
150.00,hist,13,0.00
150.00,hist,14,0.00
150.00,hist,15,0.00
150.00,hist,16,0.00
150.00,hist,17,0.06
150.00,hist,18,0.25
150.00,hist,19,0.56
150.00,hist,20,1.00
150.00,hist,21,1.56
150.00,hist,22,2.25
150.00,hist,23,3.06
150.00,hist,24,4.00
150.00,hist,25,5.06
150.00,hist,26,6.25
150.00,hist,27,7.56
150.00,hist,28,9.00
150.00,hist,29,10.56
150.00,hist,30,10.56
150.00,hist,31,10.56
150.00,hist,32,10.56
150.00,hist,33,10.56
150.00,hist,34,10.56
150.00,hist,35,10.56
150.00,hist,36,10.56
150.00,hist,37,10.56
150.00,hist,38,10.56
150.00,hist,39,10.56
150.00,hist,40,10.56
150.00,hist,41,10.56
150.00,hist,42,10.56
150.00,hist,43,10.56
150.00,hist,44,10.56
150.00,hist,45,10.56
150.00,hist,46,10.56
150.00,hist,47,10.56
150.00,hist,48,10.56
150.00,hist,49,10.56
150.00,hist,50,10.56
150.00,hist,51,10.56
150.00,hist,52,10.56
150.00,hist,53,14.56
150.00,hist,54,13.92
150.00,hist,55,13.34
150.00,hist,56,12.81
150.00,hist,57,12.34
150.00,hist,58,11.92
150.00,hist,59,11.56
150.00,hist,60,11.26
150.00,hist,61,11.01
150.00,hist,62,10.81
150.00,hist,63,10.67
150.00,hist,64,10.59
150.00,hist,65,10.56
150.00,hist,66,10.59
150.00,hist,67,10.67
150.00,hist,68,10.81
150.00,hist,69,11.01
150.00,hist,70,11.26
150.00,hist,71,11.56
150.00,hist,72,11.92
150.00,hist,73,12.34
150.00,hist,74,12.81
150.00,hist,75,13.34
150.00,hist,76,13.92
150.00,hist,77,14.56
150.00,hist,78,15.26
150.00,hist,79,16.01
150.00,hist,80,16.81
150.00,hist,81,17.67
150.00,hist,82,18.59
150.00,hist,83,19.56
150.00,hist,84,20.59
150.00,hist,85,21.67
150.00,hist,86,22.81
150.00,hist,87,24.01
150.00,hist,88,25.26
150.00,hist,89,26.56
150.00,hist,90,27.92
150.00,hist,91,29.34
150.00,hist,92,30.81
150.00,hist,93,32.34
150.00,hist,94,33.92
150.00,hist,95,35.56
150.00,hist,96,37.26
150.00,hist,97,39.01
150.00,hist,98,40.81
150.00,hist,99,42.67
150.00,hist,100,42.67
150.00,hist,1253,1314.41
200.00,hist,1,0.00
200.00,hist,2,0.00
200.00,hist,3,0.00
200.00,hist,4,0.00
200.00,hist,5,0.00
200.00,hist,6,0.00
200.00,hist,7,0.00
200.00,hist,8,0.00
200.00,hist,9,0.00
200.00,hist,10,0.00
200.00,hist,11,0.00
200.00,hist,12,0.00
200.00,hist,13,0.00
200.00,hist,14,0.00
200.00,hist,15,0.00
200.00,hist,16,0.00
200.00,hist,17,0.06
200.00,hist,18,0.25
200.00,hist,19,0.56
200.00,hist,20,1.00
200.00,hist,21,1.56
200.00,hist,22,2.25
200.00,hist,23,3.06
200.00,hist,24,4.00
200.00,hist,25,5.06
200.00,hist,26,6.25
200.00,hist,27,7.56
200.00,hist,28,9.00
200.00,hist,29,10.56
200.00,hist,30,10.56
200.00,hist,31,10.56
200.00,hist,32,10.56
200.00,hist,33,10.56
200.00,hist,34,10.56
200.00,hist,35,10.56
200.00,hist,36,10.56
200.00,hist,37,10.56
200.00,hist,38,10.56
200.00,hist,39,10.56
200.00,hist,40,10.56
200.00,hist,41,10.56
200.00,hist,42,10.56
200.00,hist,43,10.56
200.00,hist,44,10.56
200.00,hist,45,10.56
200.00,hist,46,10.56
200.00,hist,47,10.56
200.00,hist,48,10.56
200.00,hist,49,10.56
200.00,hist,50,10.56
200.00,hist,51,10.56
200.00,hist,52,10.56
200.00,hist,53,14.56
200.00,hist,54,13.92
200.00,hist,55,13.34
200.00,hist,56,12.81
200.00,hist,57,12.34
200.00,hist,58,11.92
200.00,hist,59,11.56
200.00,hist,60,11.26
200.00,hist,61,11.01
200.00,hist,62,10.81
200.00,hist,63,10.67
200.00,hist,64,10.59
200.00,hist,65,10.56
200.00,hist,66,10.59
200.00,hist,67,10.67
200.00,hist,68,10.81
200.00,hist,69,11.01
200.00,hist,70,11.26
200.00,hist,71,11.56
200.00,hist,72,11.92
200.00,hist,73,12.34
200.00,hist,74,12.81
200.00,hist,75,13.34
200.00,hist,76,13.92
200.00,hist,77,14.56
200.00,hist,78,15.26
200.00,hist,79,16.01
200.00,hist,80,16.81
