mode,1.0,5.0,10.0,25.0,50.0,75.0,100.0,125.0,150.0
1,2.399879,2.399879,2.399879,2.399879,2.399879,2.399879,2.399879,2.399879,2.399879
2,2.649330,2.634552,2.631777,2.629889,2.629246,2.629007,2.628861,2.628819,2.628788
3,3.201760,3.206686,3.209824,3.212486,3.213548,3.213918,3.214096,3.214225,3.214314
4,4.355668,4.384281,4.389245,4.392441,4.393542,4.393939,4.394096,4.394169,4.394307
5,5.923272,5.955383,5.964170,5.970524,5.972993,5.973761,5.974129,5.974440,5.974570
6,6.690969,6.589037,6.573983,6.565539,6.562916,6.562091,6.561586,6.561416,6.561330
7,7.047768,7.031193,7.036352,7.041376,7.043530,7.044223,7.044576,7.044875,7.045024
8,7.895351,7.857897,7.845594,7.836050,7.832379,7.831056,7.830370,7.830030,7.829772
9,8.318736,8.266857,8.261622,8.256530,8.254320,8.253368,8.252920,8.252687,8.252504
10,8.643424,8.490489,8.471419,8.463830,8.462460,8.462059,8.461893,8.461913,8.461891
11,9.191417,9.297152,9.323989,9.343437,9.350714,9.353133,9.354347,9.355166,9.355734
12,10.478051,10.474207,10.477291,10.479818,10.480823,10.481103,10.481235,10.481386,10.481486
13,10.887387,10.822443,10.815916,10.813618,10.812988,10.812861,10.812966,10.812906,10.813203
14,11.499379,11.383024,11.366186,11.356445,11.353224,11.352194,11.351577,11.351105,11.351100
15,12.140739,12.116492,12.106393,12.100700,12.098720,12.098191,12.097581,12.097512,12.097595
16,12.493613,12.544532,12.566050,12.582130,12.588467,12.590789,12.591829,12.592284,12.593024
17,12.923855,12.952736,12.948053,12.942803,12.940384,12.939487,12.938700,12.938868,12.938518
18,13.658404,13.529272,13.523478,13.524148,13.525072,13.525228,13.525407,13.525528,13.525742
19,14.771136,14.762525,14.737477,14.717227,14.709510,14.706998,14.705624,14.704830,14.704413
20,15.299573,15.162946,15.147236,15.137866,15.134746,15.133472,15.132697,15.132355,15.132484
21,15.372224,15.390050,15.392335,15.394790,15.395730,15.396022,15.396027,15.396232,15.396597
22,16.094307,16.004512,15.995175,15.990709,15.989581,15.989018,15.988955,15.989042,15.989081
23,16.533714,16.577329,16.562815,16.547991,16.541563,16.539211,16.538074,16.537379,16.537123
24,16.793221,16.873768,16.897130,16.915619,16.922871,16.925344,16.926433,16.927488,16.928046
25,17.430166,17.338733,17.282900,17.235966,17.217818,17.211435,17.208103,17.206252,17.204989
26,18.019836,17.730237,17.677078,17.645707,17.635612,17.632196,17.630337,17.629502,17.629023
27,18.451516,18.198338,18.179882,18.180119,18.182399,18.183665,18.183969,18.184611,18.184803
28,18.562801,18.619044,18.660224,18.691791,18.703961,18.708114,18.710176,18.711615,18.712446
29,19.229961,19.386873,19.392957,19.389542,19.386984,19.385932,19.385232,19.384901,19.384762
30,20.321119,20.065439,20.040873,20.031101,20.028603,20.027608,20.027224,20.027258,20.027076
31,20.661640,20.363656,20.303983,20.266784,20.254487,20.250342,20.248246,20.246978,20.246382
32,21.043715,20.958526,20.886139,20.831746,20.811268,20.804103,20.800485,20.798257,20.797119
33,21.207816,21.179829,21.204220,21.220604,21.226064,21.227978,21.228733,21.229473,21.230016
34,21.913888,21.775557,21.749177,21.731650,21.725331,21.722957,21.721708,21.721244,21.720994
35,22.236614,22.080495,22.045368,22.022392,22.014686,22.011835,22.010479,22.009791,22.009385
36,22.415209,22.428496,22.409168,22.393963,22.388404,22.386139,22.385071,22.384619,22.384281
37,22.992124,23.058156,23.101315,23.132029,23.142421,23.145468,23.146896,23.148095,23.148855
38,23.555838,23.492120,23.455592,23.438169,23.434972,23.434257,23.433801,23.433769,23.433881
39,23.906705,23.764178,23.723223,23.695967,23.687139,23.684049,23.682544,23.681832,23.681324
40,24.438241,24.411795,24.481603,24.536431,24.556037,24.562493,24.565478,24.567611,24.568989
41,24.769218,24.887444,24.875570,24.868601,24.867727,24.867470,24.867473,24.867491,24.867772
42,25.628442,25.493305,25.495036,25.504219,25.509326,25.510995,25.511716,25.512573,25.512958
43,26.218803,26.055591,26.017138,25.994859,25.988079,25.985784,25.984524,25.984107,25.983793
44,26.529777,27.096714,27.164834,27.193780,27.199780,27.200968,27.201539,27.201880,27.202208
45,27.024130,27.459556,27.454828,27.447674,27.446385,27.446076,27.445878,27.446023,27.446226
46,27.653894,27.822746,27.850322,27.874542,27.883209,27.885871,27.887152,27.888177,27.888963
47,27.739635,28.027389,28.025823,28.004092,27.993162,27.988719,27.986573,27.985465,27.984755
48,28.004449,28.231634,28.270398,28.304212,28.317984,28.322494,28.324792,28.326482,28.327624
49,28.311343,28.766077,28.960537,29.041354,29.049092,29.049368,29.049050,29.049137,29.049080
50,28.558541,29.201798,29.240856,29.245634,29.260596,29.266410,29.269341,29.271404,29.272807
51,29.389802,29.301469,29.299001,29.364583,29.388976,29.396969,29.400878,29.403412,29.405125
52,29.757349,29.561065,29.547736,29.559732,29.574246,29.580913,29.584550,29.587119,29.589109
53,30.395108,30.586244,30.657811,30.710470,30.729521,30.735704,30.738794,30.740922,30.742416
54,30.632427,30.901375,30.918902,30.927614,30.930664,30.931241,30.931620,30.932102,30.932370
55,31.120491,31.467318,31.577547,31.653669,31.680030,31.688604,31.692863,31.695627,31.697488
56,31.933723,32.031893,32.033095,32.029612,32.026247,32.024098,32.022826,32.022250,32.021764
57,32.850144,32.476266,32.297813,32.179508,32.140703,32.128211,32.121980,32.118828,32.116677
58,33.324650,33.084639,33.100103,33.112157,33.115922,33.116875,33.117143,33.117819,33.118155
