variable,sort_type,modes,chi2
10.00,hist,64,4.02
10.00,hist,65,4.02
10.00,hist,66,4.02
10.00,hist,67,4.02
10.00,hist,68,4.02
10.00,hist,69,4.02
10.00,hist,70,4.02
10.00,hist,71,4.02
10.00,hist,72,4.02
10.00,hist,73,4.02
10.00,hist,74,4.02
10.00,hist,75,4.02
10.00,hist,76,4.02
10.00,hist,77,4.02
10.00,hist,78,4.02
10.00,hist,79,4.02
10.00,hist,80,4.02
10.00,hist,81,4.02
10.00,hist,82,4.02
10.00,hist,83,4.02
10.00,hist,84,4.02
10.00,hist,85,4.02
10.00,hist,86,4.02
10.00,hist,87,4.02
10.00,hist,88,4.02
10.00,hist,89,4.02
10.00,hist,90,4.02
10.00,hist,91,4.02
10.00,hist,92,4.02
10.00,hist,93,4.02
10.00,hist,94,4.02
10.00,hist,95,4.02
10.00,hist,96,4.02
10.00,hist,97,4.02
10.00,hist,98,4.02
10.00,hist,99,4.02
10.00,hist,100,4.02
10.00,hist,1176,2660.54
10.50,hist,1,0.00
10.50,hist,2,0.00
10.50,hist,3,0.00
10.50,hist,4,0.00
10.50,hist,5,0.00
10.50,hist,6,0.00
10.50,hist,7,0.00
10.50,hist,8,0.00
10.50,hist,9,0.00
10.50,hist,10,0.00
10.50,hist,11,0.00
10.50,hist,12,0.00
10.50,hist,13,0.00
10.50,hist,14,0.00
10.50,hist,15,0.00
10.50,hist,16,0.00
10.50,hist,17,0.00
10.50,hist,18,0.00
10.50,hist,19,0.00
10.50,hist,20,0.00
10.50,hist,21,0.00
10.50,hist,22,0.00
10.50,hist,23,0.00
10.50,hist,24,0.00
10.50,hist,25,0.00
10.50,hist,26,0.00
10.50,hist,27,0.00
10.50,hist,28,0.00
10.50,hist,29,0.00
10.50,hist,30,0.00
10.50,hist,31,0.00
10.50,hist,32,0.00
10.50,hist,33,0.00
10.50,hist,34,0.00
10.50,hist,35,0.00
10.50,hist,36,0.00
10.50,hist,37,0.00
10.50,hist,38,0.00
10.50,hist,39,0.00
10.50,hist,40,0.00
10.50,hist,41,0.00
10.50,hist,42,0.00
10.50,hist,43,0.02
10.50,hist,44,0.10
10.50,hist,45,0.21
10.50,hist,46,0.38
10.50,hist,47,0.60
10.50,hist,48,0.86
10.50,hist,49,1.17
10.50,hist,50,1.52
10.50,hist,51,1.93
10.50,hist,52,2.38
10.50,hist,53,2.88
10.50,hist,54,3.43
10.50,hist,55,4.02
10.50,hist,56,4.67
10.50,hist,57,5.36
10.50,hist,58,5.36
10.50,hist,59,5.36
10.50,hist,60,5.36
10.50,hist,61,5.36
10.50,hist,62,5.36
10.50,hist,63,5.36
10.50,hist,64,5.36
10.50,hist,65,5.36
10.50,hist,66,5.36
10.50,hist,67,5.36
10.50,hist,68,5.36
10.50,hist,69,5.36
10.50,hist,70,5.36
10.50,hist,71,5.36
10.50,hist,72,5.36
10.50,hist,73,5.36
10.50,hist,74,5.36
10.50,hist,75,5.36
10.50,hist,76,5.36
10.50,hist,77,5.36
10.50,hist,78,5.36
10.50,hist,79,5.36
10.50,hist,80,5.36
10.50,hist,81,5.36
10.50,hist,82,5.36
10.50,hist,83,5.36
10.50,hist,84,5.36
10.50,hist,85,5.36
10.50,hist,86,5.36
10.50,hist,87,5.36
10.50,hist,88,5.36
10.50,hist,89,5.36
10.50,hist,90,5.36
10.50,hist,91,5.36
10.50,hist,92,5.36
10.50,hist,93,5.36
10.50,hist,94,5.36
10.50,hist,95,5.36
10.50,hist,96,5.36
10.50,hist,97,5.36
10.50,hist,98,5.36
10.50,hist,99,5.36
10.50,hist,100,5.36
10.50,hist,1176,3346.24
11.00,hist,1,0.00
11.00,hist,2,0.00
11.00,hist,3,0.00
11.00,hist,4,0.00
11.00,hist,5,0.00
11.00,hist,6,0.00
11.00,hist,7,0.00
11.00,hist,8,0.00
11.00,hist,9,0.00
11.00,hist,10,0.00
11.00,hist,11,0.00
11.00,hist,12,0.00
11.00,hist,13,0.00
11.00,hist,14,0.00
11.00,hist,15,0.00
11.00,hist,16,0.00
11.00,hist,17,0.00
11.00,hist,18,0.00
11.00,hist,19,0.00
11.00,hist,20,0.00
11.00,hist,21,0.00
11.00,hist,22,0.00
11.00,hist,23,0.00
11.00,hist,24,0.00
11.00,hist,25,0.00
11.00,hist,26,0.00
